country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Birthrate,Deathrate,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,CountryDisplay,Numeric,SexDisplay,YearCode
Afghanistan,ASIA (EX. NEAR EAST)         ,31056997,647500,47.96,0.0,23.06,163.07,700,36.0,3.22,12.13,0.22,87.65,46.6,20.34,0.0,0.0,0.0,0.0,Afghanistan,15.91239,Both sexes,2013
Albania,EASTERN EUROPE                     ,3581655,28748,124.59,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,15.11,5.22,89.0,132.0,54.0,4.8675,Albania,18.903579999999998,Both sexes,2013
Algeria,NORTHERN AFRICA                    ,32930091,2381740,13.83,0.04,-0.39,31.0,6000,70.0,78.1,3.22,0.25,96.53,17.14,4.61,25.0,0.0,14.0,0.6903,Algeria,17.8669,Both sexes,2013
Andorra,WESTERN EUROPE                     ,71201,468,152.14,0.0,6.6,4.05,19000,100.0,497.18,2.22,0.0,97.78,8.71,6.25,245.0,138.0,312.0,12.301499999999999,Andorra,25.27306,Both sexes,2013
Angola,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.73,0.13,0.0,191.19,1900,42.0,7.78,2.41,0.24,97.35,45.11,24.2,217.0,57.0,45.0,5.646299999999999,Angola,15.7519,Both sexes,2013
Antigua and Barbuda,LATIN AMER. & CARIB    ,69108,443,156.0,34.54,-6.15,19.46,11000,89.0,549.86,18.18,4.55,77.27,16.93,5.37,102.0,128.0,45.0,4.8675,Antigua and Barbuda,22.22126,Both sexes,2013
Argentina,LATIN AMER. & CARIB    ,39921833,2766890,14.43,0.18,0.61,15.18,11200,97.1,220.43,12.31,0.48,87.21,16.73,7.55,193.0,25.0,221.0,7.7703,Argentina,21.51349,Both sexes,2013
Armenia,C.W. OF IND. STATES ,2976372,29800,99.88,0.0,-6.47,23.28,3500,98.6,195.71,17.55,2.3,80.15,12.07,8.23,21.0,179.0,11.0,3.7347,Armenia,16.90703,Both sexes,2013
Australia,OCEANIA                            ,20264082,7686850,2.64,0.34,3.98,4.69,29000,100.0,565.53,6.55,0.04,93.41,12.14,7.51,261.0,72.0,212.0,9.6465,Australia,25.377979999999997,Both sexes,2013
Austria,WESTERN EUROPE                     ,8192880,83870,97.69,0.0,2.0,4.66,30000,98.0,452.22,16.91,0.86,82.23,8.74,9.76,279.0,75.0,191.0,9.6465,Austria,24.11444,Both sexes,2013
Azerbaijan,C.W. OF IND. STATES ,7961619,86600,91.94,0.0,-4.9,81.74,3400,97.0,137.08,19.63,2.71,77.66,20.74,9.75,21.0,46.0,5.0,1.2744,Azerbaijan,18.88105,Both sexes,2013
Bahamas,LATIN AMER. & CARIB    ,303770,13940,21.79,25.41,-2.2,25.21,16700,95.6,460.55,0.8,0.4,98.8,17.57,9.05,122.0,176.0,33.241379,5.862972408299999,Bahamas,20.945439999999998,Both sexes,2013
Bahrain,NEAR EAST                          ,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.28,2.82,5.63,91.55,17.8,4.14,42.0,63.0,7.0,1.9824,Bahrain,20.14415,Both sexes,2013
